last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Taylor, Michael A.,572191,239,6.2,27.2,110.8,86.4,93.1,82.0,425,153,392,81,33.9,15,6.3,3.9
Sanchez, Gary,596142,231,14.2,29.4,121.1,90.3,97.7,85.9,461,171,413,96,41.6,32,13.9,8.6
Duda, Lucas,446263,229,19.6,42.8,114.1,89.5,92.5,86.0,436,212,407,84,36.7,23,10.0,6.3
Bauers, Jake,641343,227,11.3,33.9,110.0,86.8,93.1,81.7,420,171,397,71,31.3,16,7.0,4.1
Ohtani, Shohei,660271,225,12.3,35.6,113.9,92.6,97.8,88.0,449,180,413,113,50.2,36,16.0,9.8
Zunino, Mike,572287,225,17.8,33.3,116.0,89.5,97.1,82.4,454,188,404,101,44.9,31,13.8,7.7
Happ, Ian,664023,222,14.1,39.2,110.5,90.0,93.4,87.8,437,193,400,90,40.5,27,12.2,5.8
Chirinos, Robinson,455139,222,21.6,36.5,107.3,87.8,93.3,80.6,456,206,393,87,39.2,24,10.8,5.6
Myers, Wil,571976,219,9.2,38.8,112.9,90.3,95.5,85.7,450,171,402,100,45.7,16,7.3,4.7
Iannetta, Chris,455104,216,13.3,37.0,114.5,91.7,96.0,87.0,469,189,421,93,43.3,20,9.3,5.6
Jackson, Austin,457706,215,10.6,34.0,108.6,86.8,90.4,84.4,419,158,404,69,32.4,6,2.8,1.6
Bautista, Jose,430832,215,19.3,35.3,111.9,90.8,95.3,88.5,429,193,393,91,42.7,17,7.9,4.3
Martin, Russell,431145,207,10.1,22.7,108.7,90.6,95.4,90.0,424,147,389,89,43.0,13,6.3,3.7
Alfaro, Jorge,595751,207,8.3,35.3,116.6,91.7,94.5,89.9,446,167,420,91,44.2,22,10.6,5.8
