last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Gattis, Evan,594828,2015,604,452,.246,.247,-.001,.463,.415,.048,.317,.301,.016
Cain, Lorenzo,456715,2015,604,457,.307,.317,-.010,.477,.483,-.006,.360,.370,-.010
Walker, Neil,435522,2015,603,441,.269,.255,.014,.427,.418,.009,.325,.317,.008
Galvis, Freddy,520471,2015,603,467,.263,.249,.014,.343,.342,.001,.283,.279,.004
Lawrie, Brett,543434,2015,602,425,.260,.257,.003,.407,.400,.007,.305,.302,.003
Semien, Marcus,543760,2015,601,426,.257,.252,.005,.405,.391,.014,.311,.306,.005
Garcia, Avisail,541645,2015,601,416,.257,.274,-.017,.365,.406,-.041,.295,.320,-.025
Butler, Billy,456714,2015,601,441,.251,.252,-.001,.390,.443,-.053,.311,.333,-.022
Peterson, Jace,607054,2015,597,418,.239,.254,-.015,.335,.360,-.025,.287,.304,-.017
Brantley, Michael,488726,2015,596,483,.310,.297,.013,.480,.428,.052,.368,.346,.022
Castellanos, Nicholas,592206,2015,595,403,.255,.260,-.005,.419,.439,-.020,.311,.322,-.011
Escobar, Yunel,488862,2015,591,468,.314,.295,.019,.415,.416,-.001,.348,.344,.004
Parra, Gerardo,467827,2015,589,464,.291,.283,.008,.452,.412,.040,.334,.320,.014
Pederson, Joc,592626,2015,585,314,.210,.221,-.011,.417,.431,-.014,.335,.345,-.010
Segura, Jean,516416,2015,584,472,.257,.256,.001,.336,.330,.006,.268,.267,.001
Simmons, Andrelton,592743,2015,583,490,.265,.284,-.019,.338,.362,-.024,.290,.310,-.020
Reddick, Josh,502210,2015,582,464,.272,.284,-.012,.449,.430,.019,.338,.337,.001
Jones, Adam,430945,2015,581,447,.269,.285,-.016,.474,.492,-.018,.334,.347,-.013
Castro, Starlin,516770,2015,578,461,.265,.256,.009,.375,.379,-.004,.288,.287,.001
Gregorius, Didi,544369,2015,578,449,.265,.259,.006,.370,.338,.032,.303,.292,.011
Lind, Adam,452252,2015,572,405,.277,.248,.029,.460,.421,.039,.350,.326,.024
Solarte, Yangervis,500208,2015,571,475,.270,.257,.013,.428,.368,.060,.324,.301,.023
Braun, Ryan,460075,2015,568,394,.285,.294,-.009,.498,.514,-.016,.366,.379,-.013
Hunter, Torii,116338,2015,567,421,.240,.236,.004,.409,.375,.034,.304,.291,.013
Rollins, Jimmy,276519,2015,563,433,.224,.232,-.008,.358,.332,.026,.283,.279,.004
Crawford, Brandon,543063,2015,561,392,.256,.262,-.006,.462,.483,-.021,.332,.344,-.012
Inciarte, Ender,542255,2015,561,473,.303,.282,.021,.408,.350,.058,.325,.297,.028
Norris, Derek,519083,2015,557,385,.250,.227,.023,.404,.330,.074,.309,.273,.036
Belt, Brandon,474832,2015,556,349,.280,.270,.010,.478,.497,-.019,.359,.364,-.005
